date,project,cost
06.01.2016,75,3148
07.01.2016,43,5026
08.01.2016,48,5302
09.01.2016,80,4207
10.01.2016,90,5954
11.01.2016,68,3098
12.01.2016,1,5470
13.01.2016,71,3037
14.01.2016,54,3973
15.01.2016,70,4487
16.01.2016,40,4752
17.01.2016,41,3559
18.01.2016,94,4368
19.01.2016,49,3771
20.01.2016,91,5127
21.01.2016,58,4089
22.01.2016,4,3181
23.01.2016,4,3139
24.01.2016,54,5683
25.01.2016,41,4163
26.01.2016,48,4239
27.01.2016,17,5403
28.01.2016,45,5562
29.01.2016,37,4460
30.01.2016,89,3524
31.01.2016,39,5393
01.02.2016,36,4778
02.02.2016,56,3479
03.02.2016,70,3492
04.02.2016,62,3621
05.02.2016,7,3910
06.02.2016,96,5170
07.02.2016,55,3346
08.02.2016,29,3095
09.02.2016,73,5527
10.02.2016,26,5676
11.02.2016,30,3345
12.02.2016,93,4160
13.02.2016,95,3222
14.02.2016,87,3543
15.02.2016,54,5752
16.02.2016,66,5896
17.02.2016,32,5899
18.02.2016,21,4745
19.02.2016,80,5849
20.02.2016,98,4178
21.02.2016,58,3809
22.02.2016,52,5460
23.02.2016,26,5032
24.02.2016,77,3792
25.02.2016,25,5896
26.02.2016,6,5339
27.02.2016,38,4280
28.02.2016,61,4303
29.02.2016,42,4521
01.03.2016,100,4814
02.03.2016,30,3413
03.03.2016,99,3965
04.03.2016,88,4681
05.03.2016,22,3263
06.03.2016,47,5681
07.03.2016,96,4535
08.03.2016,86,5708
09.03.2016,96,3351
10.03.2016,29,3064
11.03.2016,68,4346
12.03.2016,39,5987
13.03.2016,89,4292
14.03.2016,44,5610
15.03.2016,87,5769
16.03.2016,13,3440
17.03.2016,56,5386
18.03.2016,61,5408
19.03.2016,75,5787
20.03.2016,66,3704
21.03.2016,38,4250
22.03.2016,74,4046
23.03.2016,38,5770
24.03.2016,96,4840
25.03.2016,79,4266
26.03.2016,35,4417
27.03.2016,5,4361
28.03.2016,20,4116
29.03.2016,97,5074
30.03.2016,53,3882
31.03.2016,20,3783
01.04.2016,71,4296
02.04.2016,3,5053
03.04.2016,73,3514
04.04.2016,50,3378
05.04.2016,38,5738
06.04.2016,1,5366
07.04.2016,25,5121
08.04.2016,78,5486
09.04.2016,9,3259
10.04.2016,11,5064
11.04.2016,64,5514
12.04.2016,98,4986
13.04.2016,79,5730
14.04.2016,23,3796
15.04.2016,62,3845
16.04.2016,57,4277
17.04.2016,47,4240
18.04.2016,36,3883
19.04.2016,14,3080
20.04.2016,33,3959
21.04.2016,76,3147
22.04.2016,53,3539
23.04.2016,71,5113
24.04.2016,13,5202
25.04.2016,45,4001
26.04.2016,97,3855
27.04.2016,79,4859
28.04.2016,22,5724
29.04.2016,51,4655
30.04.2016,86,5382
01.05.2016,2,4705
02.05.2016,41,3910
03.05.2016,32,3278
04.05.2016,63,4225
05.05.2016,66,3960
06.05.2016,78,5921
07.05.2016,13,4653
08.05.2016,70,3759
09.05.2016,98,4243
10.05.2016,56,4442
11.05.2016,74,5613
12.05.2016,94,4344
13.05.2016,12,5545
14.05.2016,38,5373
15.05.2016,84,4796
16.05.2016,83,5729
17.05.2016,18,4281
18.05.2016,75,5685
19.05.2016,82,4598
20.05.2016,3,5461
21.05.2016,40,4122
22.05.2016,1,4209
23.05.2016,9,5278
24.05.2016,14,4122
25.05.2016,91,5285
26.05.2016,47,5579
27.05.2016,38,4989
28.05.2016,40,3983
29.05.2016,52,5966
30.05.2016,78,5907
31.05.2016,25,4147
01.06.2016,31,5485
02.06.2016,7,5976
03.06.2016,5,5060
04.06.2016,62,3483
05.06.2016,32,5770
06.06.2016,7,5586
07.06.2016,74,5688
08.06.2016,51,4547
09.06.2016,11,5376
10.06.2016,43,4832
11.06.2016,70,4227
12.06.2016,22,5542
13.06.2016,85,3310
14.06.2016,14,4764
15.06.2016,88,4690
16.06.2016,1,4521
17.06.2016,90,5292
18.06.2016,66,5861
19.06.2016,50,5997
20.06.2016,64,5010
21.06.2016,87,3601
22.06.2016,27,4473
23.06.2016,15,5721
24.06.2016,50,3136
25.06.2016,82,4387
26.06.2016,88,3370
27.06.2016,73,4673
28.06.2016,36,4440
29.06.2016,97,4242
30.06.2016,53,4941
01.07.2016,95,3261
02.07.2016,36,5138
03.07.2016,22,4967
04.07.2016,52,4046
05.07.2016,87,5266
06.07.2016,18,5508
07.07.2016,72,3727
08.07.2016,82,4992
09.07.2016,83,5774
10.07.2016,77,3744
11.07.2016,80,3405
12.07.2016,19,5706
13.07.2016,47,3613
14.07.2016,63,3526
15.07.2016,45,5477
16.07.2016,87,5093
17.07.2016,38,3201
18.07.2016,88,4742
19.07.2016,12,4246
20.07.2016,69,4218
21.07.2016,5,4895
22.07.2016,94,4535
23.07.2016,85,3664
24.07.2016,65,5794
25.07.2016,100,3464
26.07.2016,33,5378
27.07.2016,56,5477
28.07.2016,31,5543
29.07.2016,35,5170
30.07.2016,97,4155
31.07.2016,30,4996
01.08.2016,70,4875
02.08.2016,48,5687
03.08.2016,63,3990
04.08.2016,74,4139
05.08.2016,1,5925
06.08.2016,94,3166
07.08.2016,81,3670
08.08.2016,40,4910
09.08.2016,52,4169
10.08.2016,35,5182
11.08.2016,41,5124
12.08.2016,70,5351
13.08.2016,50,3676
14.08.2016,82,4674
15.08.2016,16,4114
16.08.2016,48,3252
17.08.2016,24,5849
18.08.2016,31,4084
19.08.2016,62,4880
20.08.2016,21,5651
21.08.2016,82,4826
22.08.2016,97,3313
23.08.2016,37,4657
24.08.2016,63,3820
25.08.2016,14,4449
26.08.2016,12,3401
27.08.2016,75,5997
28.08.2016,85,3972
29.08.2016,90,4696
30.08.2016,73,4053
31.08.2016,22,3982
01.09.2016,23,3456
02.09.2016,14,5496
03.09.2016,95,4359
04.09.2016,54,4759
05.09.2016,24,5494
06.09.2016,28,5429
07.09.2016,16,4074
08.09.2016,46,4454
09.09.2016,92,5208
10.09.2016,87,3537
11.09.2016,29,4858
12.09.2016,39,3460
13.09.2016,50,4047
14.09.2016,52,3922
15.09.2016,85,3927
16.09.2016,85,3443
17.09.2016,90,3560
18.09.2016,34,5331
19.09.2016,29,3308
20.09.2016,29,5946
21.09.2016,63,5082
22.09.2016,94,5323
23.09.2016,89,5999
24.09.2016,87,4466
25.09.2016,84,5029
26.09.2016,48,3467
27.09.2016,94,4359
28.09.2016,74,4715
29.09.2016,22,3846
30.09.2016,23,4011
01.10.2016,34,5187
02.10.2016,82,4416
03.10.2016,41,5685
04.10.2016,46,3610
05.10.2016,56,4575
06.10.2016,87,4046
07.10.2016,36,3713
08.10.2016,29,3263
09.10.2016,65,3773
10.10.2016,69,4455
11.10.2016,39,5705
12.10.2016,4,5180
13.10.2016,66,5612
14.10.2016,63,3335
15.10.2016,92,3366
16.10.2016,7,3424
17.10.2016,1,5448
18.10.2016,21,4677
19.10.2016,72,3706
20.10.2016,95,5515
21.10.2016,56,5097
22.10.2016,57,4700
23.10.2016,95,5932
24.10.2016,14,4734
25.10.2016,31,5540
26.10.2016,92,3877
27.10.2016,22,4571
28.10.2016,7,5307
29.10.2016,98,5315
30.10.2016,38,4453
31.10.2016,52,4061
01.11.2016,92,5152
02.11.2016,29,4879
03.11.2016,4,5719
04.11.2016,100,4715
05.11.2016,51,3077
06.11.2016,5,5349
07.11.2016,1,3168
08.11.2016,2,4498
09.11.2016,98,3890
10.11.2016,20,4384
11.11.2016,65,4574
12.11.2016,62,3827
13.11.2016,18,3020
14.11.2016,5,5202
15.11.2016,22,4215
16.11.2016,65,4121
17.11.2016,14,3148
18.11.2016,68,4474
19.11.2016,60,5110
20.11.2016,9,5800
21.11.2016,12,4616
22.11.2016,50,5011
23.11.2016,88,5561
24.11.2016,63,3517
25.11.2016,80,4631
26.11.2016,57,5663
27.11.2016,30,3418
28.11.2016,28,3851
29.11.2016,26,3724
30.11.2016,9,5473
01.12.2016,44,3791
02.12.2016,53,3423
03.12.2016,21,5815
04.12.2016,19,4665
05.12.2016,35,3360
06.12.2016,84,4963
07.12.2016,61,5342
08.12.2016,96,3830
09.12.2016,23,3489
10.12.2016,8,3458
11.12.2016,44,3285
12.12.2016,9,3273
13.12.2016,75,5525
14.12.2016,73,3906
15.12.2016,95,3305
16.12.2016,10,3244
17.12.2016,13,3314
18.12.2016,86,4870
19.12.2016,95,4175
20.12.2016,85,4406
21.12.2016,57,3444
22.12.2016,59,5927
23.12.2016,73,4072
24.12.2016,17,3179
25.12.2016,48,5487
26.12.2016,79,4367
27.12.2016,32,3364
28.12.2016,46,4362
29.12.2016,23,4715
30.12.2016,69,4170
31.12.2016,100,5290
01.01.2017,39,3334
02.01.2017,18,3564
03.01.2017,46,4691
04.01.2017,13,5211
05.01.2017,10,5897
06.01.2017,95,3550
07.01.2017,24,3012
08.01.2017,98,5424
09.01.2017,49,5293
10.01.2017,74,5326
11.01.2017,30,3460
12.01.2017,78,5644
13.01.2017,20,4994
14.01.2017,27,3393
15.01.2017,52,5855
16.01.2017,99,4670
17.01.2017,62,4856
18.01.2017,36,4647
19.01.2017,74,4160
20.01.2017,65,4549
21.01.2017,8,5271
22.01.2017,28,5019
23.01.2017,58,5695
24.01.2017,79,3289
25.01.2017,76,5986
26.01.2017,99,4549
27.01.2017,4,3564
28.01.2017,19,3819
29.01.2017,80,5554
30.01.2017,14,4284
31.01.2017,88,4927
01.02.2017,85,3680
02.02.2017,2,5429
03.02.2017,63,3417
04.02.2017,3,5687
05.02.2017,90,4087
06.02.2017,15,4314
07.02.2017,25,5449
08.02.2017,17,3200
09.02.2017,65,5007
10.02.2017,90,4107
11.02.2017,75,5935
12.02.2017,81,4237
13.02.2017,51,4547
14.02.2017,3,5077
15.02.2017,78,3110
16.02.2017,62,5201
17.02.2017,34,5791
18.02.2017,41,5432
19.02.2017,28,3821
20.02.2017,10,3254
21.02.2017,97,5536
22.02.2017,90,3809
23.02.2017,53,5572
24.02.2017,61,5087
25.02.2017,77,4538
26.02.2017,83,5910
27.02.2017,17,3017
28.02.2017,86,5057
01.03.2017,92,3956
02.03.2017,16,3856
03.03.2017,83,4714
04.03.2017,15,4670
05.03.2017,85,3059
06.03.2017,25,5253
07.03.2017,19,5808
08.03.2017,92,3684
09.03.2017,37,5330
10.03.2017,29,5006
11.03.2017,84,4253
12.03.2017,33,3875
13.03.2017,85,3991
14.03.2017,23,3475
15.03.2017,41,4670
16.03.2017,18,4562
17.03.2017,22,3308
18.03.2017,87,5140
19.03.2017,66,3543
20.03.2017,64,3504
21.03.2017,12,4936
22.03.2017,54,5488
23.03.2017,60,5157
24.03.2017,65,5771
25.03.2017,51,4425
26.03.2017,83,4719
27.03.2017,17,3099
28.03.2017,46,5315
29.03.2017,28,5861
30.03.2017,32,5725
31.03.2017,63,3607
01.04.2017,64,5478
02.04.2017,62,3916
03.04.2017,79,3388
04.04.2017,62,3447
05.04.2017,5,4159
06.04.2017,62,3936
07.04.2017,64,3152
08.04.2017,40,3195
09.04.2017,7,3712
10.04.2017,98,4703
11.04.2017,12,3091
12.04.2017,45,4857
13.04.2017,44,3244
14.04.2017,90,3935
15.04.2017,33,5187
16.04.2017,94,4870
17.04.2017,4,3388
18.04.2017,78,5719
19.04.2017,44,5549
20.04.2017,4,4824
21.04.2017,100,4079
22.04.2017,65,5619
23.04.2017,51,5375
24.04.2017,8,4634
25.04.2017,68,4448
26.04.2017,33,3839
27.04.2017,45,5140
28.04.2017,44,4159
29.04.2017,41,4160
30.04.2017,17,4611
01.05.2017,75,3634
02.05.2017,86,5106
03.05.2017,33,5260
04.05.2017,85,3399
05.05.2017,27,5459
06.05.2017,25,5426
07.05.2017,66,5278
08.05.2017,1,5631
09.05.2017,23,3119
10.05.2017,80,3445
11.05.2017,32,5985
12.05.2017,67,3577
13.05.2017,21,5309
14.05.2017,31,4232
15.05.2017,69,4567
16.05.2017,47,4084
17.05.2017,63,5994
18.05.2017,12,4452
19.05.2017,12,5846
20.05.2017,32,3098
21.05.2017,76,4300
22.05.2017,84,5966
23.05.2017,95,5250
24.05.2017,34,4737
25.05.2017,16,3266
26.05.2017,54,4659
27.05.2017,58,3875
28.05.2017,78,3000
29.05.2017,70,4130
30.05.2017,55,5772
31.05.2017,88,3115
01.06.2017,9,6000
02.06.2017,91,5289
03.06.2017,7,5041
04.06.2017,98,3055
05.06.2017,96,3328
06.06.2017,95,4650
07.06.2017,99,4645
08.06.2017,60,5889
09.06.2017,28,4883
10.06.2017,57,3279
11.06.2017,17,5413
12.06.2017,12,4313
13.06.2017,23,4763
14.06.2017,85,5827
15.06.2017,27,3256
16.06.2017,79,4947
17.06.2017,21,4927
18.06.2017,31,4198
19.06.2017,76,3497
20.06.2017,27,4869
21.06.2017,94,5678
22.06.2017,29,5770
23.06.2017,49,4320
24.06.2017,8,4412
25.06.2017,79,5915
26.06.2017,93,3907
27.06.2017,77,3517
28.06.2017,42,5311
29.06.2017,12,5855
30.06.2017,62,4774
01.07.2017,12,5850
02.07.2017,74,4569
03.07.2017,49,3792
04.07.2017,98,3163
05.07.2017,61,4552
06.07.2017,42,3933
07.07.2017,58,5012
08.07.2017,43,3037
09.07.2017,44,5573
10.07.2017,59,5392
11.07.2017,29,4696
12.07.2017,85,4932
13.07.2017,57,5919
14.07.2017,14,3678
15.07.2017,18,4069
16.07.2017,58,4273
17.07.2017,51,5825
18.07.2017,97,4884
19.07.2017,14,4498
20.07.2017,32,3974
21.07.2017,83,3876
22.07.2017,62,5365
23.07.2017,64,5104
24.07.2017,67,5584
25.07.2017,92,4476
26.07.2017,1,4452
27.07.2017,3,3790
28.07.2017,5,5312
29.07.2017,8,5893
30.07.2017,63,5124
31.07.2017,7,3062
01.08.2017,82,3208
02.08.2017,36,3845
03.08.2017,4,3367
04.08.2017,5,3686
05.08.2017,66,5533
06.08.2017,42,5876
07.08.2017,80,4195
08.08.2017,17,3370
09.08.2017,53,5826
10.08.2017,82,5317
11.08.2017,10,3678
12.08.2017,18,3751
13.08.2017,36,4212
14.08.2017,7,4054
15.08.2017,16,3523
16.08.2017,26,4116
17.08.2017,18,4685
18.08.2017,65,4424
19.08.2017,26,5163
20.08.2017,78,4274
21.08.2017,64,4103
22.08.2017,88,5051
23.08.2017,37,4091
24.08.2017,66,5282
25.08.2017,82,4063
26.08.2017,86,5422
27.08.2017,83,3193
28.08.2017,90,3342
29.08.2017,83,4067
30.08.2017,43,3867
31.08.2017,47,4345
01.09.2017,54,4002
02.09.2017,90,3668
03.09.2017,24,3377
04.09.2017,56,3850
05.09.2017,64,4221
06.09.2017,87,4542
07.09.2017,9,4725
08.09.2017,21,5153
09.09.2017,68,3768
10.09.2017,70,3493
11.09.2017,12,3477
12.09.2017,39,5288
13.09.2017,35,5888
14.09.2017,28,4995
15.09.2017,36,5934
16.09.2017,29,5612
17.09.2017,5,3451
18.09.2017,83,5915
19.09.2017,7,5781
20.09.2017,28,3527
21.09.2017,36,3108
22.09.2017,26,4498
23.09.2017,96,4064
24.09.2017,14,5426
25.09.2017,90,5742
26.09.2017,3,5024
27.09.2017,2,4222
28.09.2017,49,5642
29.09.2017,37,4901
30.09.2017,51,4395
01.10.2017,52,5597
02.10.2017,52,5855
03.10.2017,62,5990
04.10.2017,60,4541
05.10.2017,99,5159
06.10.2017,59,4215
07.10.2017,33,5716
08.10.2017,91,4148
09.10.2017,25,4995
10.10.2017,53,3045
11.10.2017,27,4425
12.10.2017,77,3075
13.10.2017,65,3915
14.10.2017,56,5523
15.10.2017,30,5469
16.10.2017,43,5589
17.10.2017,73,3552
18.10.2017,12,4915
19.10.2017,60,4032
20.10.2017,46,4763
21.10.2017,12,5652
22.10.2017,37,3220
23.10.2017,77,3643
24.10.2017,61,4054
25.10.2017,50,4019
26.10.2017,76,4463
27.10.2017,96,3064
28.10.2017,37,5129
29.10.2017,95,5536
30.10.2017,23,4121
31.10.2017,95,3154
01.11.2017,41,3734
02.11.2017,94,5172
03.11.2017,2,5305
04.11.2017,48,4264
05.11.2017,69,3839
06.11.2017,39,3403
07.11.2017,30,4405
08.11.2017,80,3380
09.11.2017,5,5074
10.11.2017,2,4280
11.11.2017,27,4129
12.11.2017,93,5700
13.11.2017,75,4772
14.11.2017,44,4447
15.11.2017,79,3443
16.11.2017,14,5966
17.11.2017,83,4736
18.11.2017,35,3210
19.11.2017,90,3759
20.11.2017,12,5390
21.11.2017,22,5807
22.11.2017,57,3470
23.11.2017,55,5719
24.11.2017,92,5149
25.11.2017,53,3547
26.11.2017,99,4097
27.11.2017,63,4216
28.11.2017,68,3275
29.11.2017,23,4900
30.11.2017,27,4868
01.12.2017,98,4150
02.12.2017,79,4218
03.12.2017,62,3051
04.12.2017,33,5426
05.12.2017,54,4084
06.12.2017,4,5942
07.12.2017,23,4111
08.12.2017,6,5033
09.12.2017,83,5212
10.12.2017,59,5247
11.12.2017,7,4118
12.12.2017,49,5166
13.12.2017,74,5451
14.12.2017,15,3524
15.12.2017,79,3800
16.12.2017,3,3467
17.12.2017,64,5838
18.12.2017,30,3306
19.12.2017,44,5453
20.12.2017,18,3934
21.12.2017,61,3476
22.12.2017,66,4816
23.12.2017,92,3641
24.12.2017,6,5946
25.12.2017,91,3591
26.12.2017,27,5541
27.12.2017,99,5464
28.12.2017,78,4334
29.12.2017,75,5823
30.12.2017,1,5915
31.12.2017,6,5287
01.01.2018,58,3032
02.01.2018,85,5546
03.01.2018,26,3607
04.01.2018,96,4078
05.01.2018,62,4037
06.01.2018,56,5425
07.01.2018,47,5339
08.01.2018,87,3423
09.01.2018,42,3555
10.01.2018,46,5590
11.01.2018,47,4595
12.01.2018,12,3588
13.01.2018,74,5176
14.01.2018,55,5637
15.01.2018,58,4380
16.01.2018,5,4863
17.01.2018,11,4605
18.01.2018,84,3406
19.01.2018,35,4747
20.01.2018,3,3616
21.01.2018,9,3942
22.01.2018,18,4590
23.01.2018,53,3814
24.01.2018,91,3438
25.01.2018,23,4624
26.01.2018,99,3980
27.01.2018,36,5068
28.01.2018,46,4599
29.01.2018,12,3592
30.01.2018,56,5438
31.01.2018,31,5735
01.02.2018,16,4044
02.02.2018,89,3557
03.02.2018,76,5301
04.02.2018,53,4314
05.02.2018,72,4188
06.02.2018,60,3342
07.02.2018,5,3449
08.02.2018,21,3523
09.02.2018,81,3136
10.02.2018,92,5982
11.02.2018,94,5986
12.02.2018,19,3666
13.02.2018,14,3509
14.02.2018,54,5839
15.02.2018,84,4655
16.02.2018,92,4515
17.02.2018,66,4208
18.02.2018,13,4878
19.02.2018,80,3130
20.02.2018,37,5132
21.02.2018,26,3460
22.02.2018,27,5286
23.02.2018,23,5182
24.02.2018,50,5973
25.02.2018,90,4417
26.02.2018,77,3181
27.02.2018,9,3543
28.02.2018,80,3661
01.03.2018,23,4318
02.03.2018,73,3090
03.03.2018,44,5635
04.03.2018,45,3927
05.03.2018,71,4738
06.03.2018,30,3354
07.03.2018,48,5581
08.03.2018,28,3388
09.03.2018,13,3460
10.03.2018,100,4549
11.03.2018,91,3284
12.03.2018,36,3445
13.03.2018,31,4904
14.03.2018,39,5999
15.03.2018,12,5925
16.03.2018,51,3215
17.03.2018,1,5828
18.03.2018,74,3915
19.03.2018,34,3847
20.03.2018,55,4525
21.03.2018,70,4111
22.03.2018,10,3880
23.03.2018,49,4780
24.03.2018,73,5347
25.03.2018,30,4292
26.03.2018,72,3555
27.03.2018,14,5586
28.03.2018,65,3809
29.03.2018,97,4980
30.03.2018,53,4634
31.03.2018,93,3332
01.04.2018,14,5082
02.04.2018,84,5884
03.04.2018,41,3169
04.04.2018,31,5096
05.04.2018,6,5829
06.04.2018,88,5781
07.04.2018,80,3880
08.04.2018,8,4563
09.04.2018,31,3592
10.04.2018,37,4508
11.04.2018,94,3167
12.04.2018,5,3108
13.04.2018,72,5829
14.04.2018,30,3103
15.04.2018,14,5366
16.04.2018,35,4025
17.04.2018,74,3692
18.04.2018,59,5171
19.04.2018,55,3263
20.04.2018,30,5880
21.04.2018,35,4221
22.04.2018,65,5922
23.04.2018,31,3357
24.04.2018,95,5851
25.04.2018,69,4901
26.04.2018,60,3375
27.04.2018,70,5616
28.04.2018,48,4767
29.04.2018,77,4685
30.04.2018,9,4867
01.05.2018,63,3732
02.05.2018,70,5737
03.05.2018,5,4185
04.05.2018,24,5605
05.05.2018,87,4589
06.05.2018,15,4843
07.05.2018,87,3970
08.05.2018,4,4222
09.05.2018,43,4614
10.05.2018,57,3203
11.05.2018,84,5043
12.05.2018,71,5694
13.05.2018,97,3504
14.05.2018,74,5442
15.05.2018,41,4797
16.05.2018,23,4090
17.05.2018,79,4954
18.05.2018,15,5433
19.05.2018,65,3412
20.05.2018,19,4676
21.05.2018,43,4040
22.05.2018,6,5106
23.05.2018,55,5940
24.05.2018,11,4058
25.05.2018,14,3093
26.05.2018,42,3915
27.05.2018,25,4388
28.05.2018,83,5278
29.05.2018,50,3811
30.05.2018,85,5681
31.05.2018,94,4898
01.06.2018,20,3252
02.06.2018,69,5976
03.06.2018,59,4855
04.06.2018,16,4327
05.06.2018,40,3220
06.06.2018,98,5795
07.06.2018,44,4797
08.06.2018,78,4700
09.06.2018,37,3341
10.06.2018,91,3245
11.06.2018,97,5633
12.06.2018,1,5510
13.06.2018,65,4187
14.06.2018,58,4305
15.06.2018,35,4646
16.06.2018,6,4032
17.06.2018,67,3553
18.06.2018,18,3803
19.06.2018,24,3274
20.06.2018,41,5523
21.06.2018,8,5552
22.06.2018,75,5541
23.06.2018,42,4514
24.06.2018,19,4389
25.06.2018,86,5222
26.06.2018,48,5688
27.06.2018,90,3547
28.06.2018,94,5005
29.06.2018,64,3510
30.06.2018,20,3844
01.07.2018,73,3764
02.07.2018,91,3453
03.07.2018,76,3101
04.07.2018,40,5678
05.07.2018,40,4943
06.07.2018,5,3051
07.07.2018,47,4308
08.07.2018,24,5720
09.07.2018,64,4707
10.07.2018,57,4819
11.07.2018,90,4021
12.07.2018,29,4550
13.07.2018,4,3722
14.07.2018,72,3448
15.07.2018,84,4002
16.07.2018,58,3581
17.07.2018,49,5768
18.07.2018,62,3135
19.07.2018,97,3550
20.07.2018,81,5866
21.07.2018,51,4854
22.07.2018,2,4260
23.07.2018,38,3201
24.07.2018,4,4415
25.07.2018,77,4032
26.07.2018,100,3627
27.07.2018,55,4088
28.07.2018,47,4923
29.07.2018,27,4571
30.07.2018,36,5268
31.07.2018,11,3535
01.08.2018,29,5337
02.08.2018,92,3963
03.08.2018,20,4604
04.08.2018,93,4644
05.08.2018,11,5761
06.08.2018,3,5755
07.08.2018,91,3064
08.08.2018,40,3370
09.08.2018,95,4158
10.08.2018,46,3045
11.08.2018,8,3046
12.08.2018,3,5470
13.08.2018,15,3702
14.08.2018,35,5095
15.08.2018,94,3285
16.08.2018,95,3517
17.08.2018,75,3430
18.08.2018,32,5351
19.08.2018,95,5068
20.08.2018,78,4122
21.08.2018,89,3918
22.08.2018,53,5509
23.08.2018,57,3136
24.08.2018,79,3697
25.08.2018,76,5337
26.08.2018,50,5201
27.08.2018,67,4188
28.08.2018,12,5549
29.08.2018,50,3473
30.08.2018,62,3110
31.08.2018,79,4209
01.09.2018,39,4452
02.09.2018,53,5649
03.09.2018,3,5355
04.09.2018,71,5201
05.09.2018,53,3729
06.09.2018,29,4087
07.09.2018,100,3551
08.09.2018,55,5919
09.09.2018,84,4700
10.09.2018,30,4381
11.09.2018,63,4193
12.09.2018,52,5031
13.09.2018,71,5915
14.09.2018,76,5345
15.09.2018,33,3003
16.09.2018,96,4488
17.09.2018,13,4403
18.09.2018,87,3920
19.09.2018,70,5065
20.09.2018,67,4433
21.09.2018,73,4351
22.09.2018,14,3847
23.09.2018,37,5985
24.09.2018,92,4092
25.09.2018,26,3261
26.09.2018,25,3930
27.09.2018,62,3896
28.09.2018,68,3090
29.09.2018,57,4343
30.09.2018,24,3771
01.10.2018,65,3897
02.10.2018,99,5381
03.10.2018,17,3159
04.10.2018,55,5462
05.10.2018,65,4821
06.10.2018,13,4598
07.10.2018,1,5089
08.10.2018,93,3093
09.10.2018,50,5388
10.10.2018,91,5588
11.10.2018,67,4622
12.10.2018,51,4470
13.10.2018,20,5457
14.10.2018,85,3809
15.10.2018,10,5964
16.10.2018,31,5523
17.10.2018,54,4037
18.10.2018,61,3794
19.10.2018,36,5016
20.10.2018,95,4699
21.10.2018,31,4465
22.10.2018,26,5761
23.10.2018,44,5551
24.10.2018,31,5545
25.10.2018,31,5712
26.10.2018,3,3952
27.10.2018,41,4034
28.10.2018,8,4297
29.10.2018,27,4745
30.10.2018,100,5194
31.10.2018,56,5585
01.11.2018,29,3052
02.11.2018,13,3757
03.11.2018,29,3299
04.11.2018,73,3220
05.11.2018,7,3178
06.11.2018,25,5423
07.11.2018,89,5507
08.11.2018,64,5936
09.11.2018,94,4406
10.11.2018,43,5605
11.11.2018,86,3822
12.11.2018,15,4189
13.11.2018,91,3024
14.11.2018,50,5418
15.11.2018,12,3463
16.11.2018,6,3059
17.11.2018,14,4642
18.11.2018,60,3503
19.11.2018,28,5563
20.11.2018,95,3005
21.11.2018,3,3554
22.11.2018,66,5734
23.11.2018,73,5977
24.11.2018,21,4963
25.11.2018,69,5895
26.11.2018,28,3801
27.11.2018,28,3667
28.11.2018,36,4425
29.11.2018,10,5077
30.11.2018,54,3590
01.12.2018,57,3790
02.12.2018,40,3575
03.12.2018,8,3278
04.12.2018,60,3446
05.12.2018,75,3791
06.12.2018,29,3550
07.12.2018,23,4203
08.12.2018,96,3304
09.12.2018,76,5333
10.12.2018,41,4346
11.12.2018,66,4362
12.12.2018,65,5040
13.12.2018,44,3170
14.12.2018,77,5750
15.12.2018,18,5521
16.12.2018,23,5404
17.12.2018,100,5869
18.12.2018,94,3971
19.12.2018,74,3584
20.12.2018,88,5826
21.12.2018,48,5912
22.12.2018,94,5109
23.12.2018,31,3668
24.12.2018,48,5517
25.12.2018,67,3418
26.12.2018,39,4801
27.12.2018,89,3557
28.12.2018,94,4425
29.12.2018,100,4630
30.12.2018,75,5864
31.12.2018,93,3698
01.01.2019,88,4240
02.01.2019,27,5710
03.01.2019,77,3944
04.01.2019,29,3159
05.01.2019,58,3963
06.01.2019,62,3966
07.01.2019,84,3127
08.01.2019,49,3219
09.01.2019,8,4564
10.01.2019,71,5227
11.01.2019,55,4213
12.01.2019,83,3755
13.01.2019,98,3359
14.01.2019,65,4919
15.01.2019,27,5166
16.01.2019,1,3334
17.01.2019,88,5356
18.01.2019,76,3853
19.01.2019,69,3183
20.01.2019,94,4442
21.01.2019,88,5646
22.01.2019,79,3337
23.01.2019,55,5432
24.01.2019,29,3668
25.01.2019,19,4873
26.01.2019,34,4937
27.01.2019,7,5357
28.01.2019,35,5098
29.01.2019,10,5741
30.01.2019,77,5921
31.01.2019,7,3091
01.02.2019,33,5178
02.02.2019,13,3836
03.02.2019,57,5367
04.02.2019,28,4391
05.02.2019,82,5553
06.02.2019,17,3620
07.02.2019,80,3502
08.02.2019,96,4819
09.02.2019,83,4362
10.02.2019,14,4464
11.02.2019,65,3585
12.02.2019,27,5570
13.02.2019,9,5502
14.02.2019,47,5209
15.02.2019,94,3217
16.02.2019,67,4694
17.02.2019,84,5661
18.02.2019,23,4313
19.02.2019,96,5880
20.02.2019,65,5190
21.02.2019,34,3420
22.02.2019,68,5242
23.02.2019,35,3704
24.02.2019,42,3584
25.02.2019,5,4569
26.02.2019,11,4769
27.02.2019,100,4798
28.02.2019,3,5170
01.03.2019,74,4987
02.03.2019,36,5527
03.03.2019,91,4700
04.03.2019,100,4884
05.03.2019,64,5332
06.03.2019,46,3215
07.03.2019,84,4361
08.03.2019,78,3490
09.03.2019,70,4550
10.03.2019,32,4414
11.03.2019,51,5578
12.03.2019,50,3365
13.03.2019,9,4514
14.03.2019,1,5346
15.03.2019,10,5559
16.03.2019,53,5369
