invoice_id,project,net_value,invoice_date
801,71,28 600.00,5/12/2019
802,78,25 400.00,5/17/2019
803,99,15 600.00,5/19/2019
804,51,7 900.00,5/22/2019
805,74,5 300.00,5/23/2019
806,71,29 700.00,5/26/2019
807,53,16 000.00,5/29/2019
808,93,20 300.00,6/2/2019
809,15,6 500.00,6/3/2019
810,86,8 000.00,6/6/2019
811,95,24 200.00,6/11/2019
812,19,14 900.00,6/16/2019
813,97,19 100.00,6/20/2019
814,87,16 600.00,6/21/2019
815,85,18 500.00,6/25/2019
816,83,20 600.00,6/26/2019
817,14,28 200.00,7/1/2019
818,9,10 200.00,7/4/2019
819,40,18 700.00,7/5/2019
820,42,29 600.00,7/8/2019
821,33,9 900.00,7/13/2019
822,21,12 000.00,7/16/2019
823,34,29 800.00,7/17/2019
824,27,15 200.00,7/19/2019
825,70,24 200.00,7/20/2019
826,85,15 900.00,7/25/2019
827,86,5 600.00,7/28/2019
828,20,10 000.00,8/1/2019
829,25,17 000.00,8/2/2019
830,21,12 000.00,8/4/2019
831,38,11 500.00,8/8/2019
832,35,15 800.00,8/11/2019
833,93,5 900.00,8/14/2019
834,28,7 600.00,8/19/2019
835,51,23 800.00,8/20/2019
836,77,8 700.00,8/25/2019
837,30,12 400.00,8/26/2019
838,90,10 200.00,8/29/2019
839,96,21 600.00,9/1/2019
840,57,17 200.00,9/4/2019
841,62,24 100.00,9/8/2019
842,55,22 500.00,9/9/2019
843,43,21 500.00,9/10/2019
844,76,10 300.00,9/14/2019
845,87,29 900.00,9/18/2019
846,43,12 500.00,9/20/2019
847,86,9 900.00,9/22/2019
848,98,11 300.00,9/24/2019
849,32,17 800.00,9/27/2019
850,1,8 800.00,9/30/2019
851,37,8 300.00,10/3/2019
852,18,7 300.00,10/7/2019
853,99,11 000.00,10/8/2019
854,39,13 700.00,10/10/2019
855,37,15 000.00,10/14/2019
856,49,7 900.00,10/18/2019
857,20,15 400.00,10/22/2019
858,20,25 500.00,10/24/2019
859,20,18 700.00,10/26/2019
860,40,12 700.00,10/27/2019
861,81,22 900.00,10/31/2019
862,26,28 000.00,11/1/2019
863,75,13 000.00,11/4/2019
864,86,15 300.00,11/5/2019
865,67,18 000.00,11/7/2019
866,26,8 600.00,11/8/2019
867,91,24 100.00,11/11/2019
868,44,6 700.00,11/14/2019
869,27,15 600.00,11/15/2019
870,79,15 800.00,11/16/2019
871,70,15 000.00,11/18/2019
872,34,12 100.00,11/23/2019
873,96,11 300.00,11/28/2019
874,40,10 700.00,12/2/2019
875,31,12 400.00,12/4/2019
876,92,6 800.00,12/9/2019
877,93,10 300.00,12/10/2019
878,76,15 900.00,12/12/2019
879,15,9 200.00,12/17/2019
880,97,11 200.00,12/21/2019
881,11,13 900.00,12/24/2019
882,70,18 100.00,12/25/2019
883,58,28 600.00,12/27/2019
884,50,6 100.00,12/29/2019
885,45,10 600.00,1/3/2020
886,32,28 500.00,1/8/2020
887,22,17 700.00,1/13/2020
888,12,7 100.00,1/15/2020
889,18,20 300.00,1/17/2020
890,12,30 000.00,1/20/2020
891,47,28 100.00,1/25/2020
892,89,23 800.00,1/27/2020
893,63,18 100.00,1/29/2020
894,60,25 400.00,1/30/2020
895,55,17 000.00,2/3/2020
896,81,8 000.00,2/8/2020
897,91,14 600.00,2/13/2020
898,83,27 600.00,2/14/2020
899,100,8 400.00,2/15/2020
900,33,19 300.00,2/20/2020
901,3,6 400.00,2/25/2020
902,22,25 600.00,2/26/2020
903,42,9 000.00,3/3/2020
904,89,5 500.00,3/8/2020
905,43,25 500.00,3/10/2020
906,63,23 300.00,3/13/2020
907,31,20 700.00,3/14/2020
908,18,9 600.00,3/18/2020
909,33,10 900.00,3/20/2020
910,33,6 400.00,3/22/2020
911,24,19 400.00,3/26/2020
912,5,24 700.00,3/29/2020
913,27,20 000.00,4/2/2020
914,57,19 500.00,4/7/2020
915,21,5 400.00,4/9/2020
916,39,6 400.00,4/13/2020
917,93,6 200.00,4/14/2020
918,6,13 100.00,4/19/2020
919,87,8 900.00,4/23/2020
920,62,24 500.00,4/24/2020
921,45,15 700.00,4/27/2020
922,83,17 400.00,5/1/2020
923,93,19 700.00,5/3/2020
924,90,16 400.00,5/6/2020
925,60,28 100.00,5/11/2020
926,29,19 000.00,5/16/2020
927,33,23 600.00,5/18/2020
928,99,20 700.00,5/23/2020
929,19,13 400.00,5/27/2020
930,18,27 400.00,5/31/2020
931,63,26 700.00,6/4/2020
932,45,15 000.00,6/6/2020
933,11,17 000.00,6/8/2020
934,12,24 500.00,6/13/2020
935,34,21 000.00,6/17/2020
936,19,18 900.00,6/22/2020
937,34,19 700.00,6/24/2020
938,20,27 100.00,6/29/2020
939,8,24 100.00,7/2/2020
940,73,12 800.00,7/6/2020
941,60,20 600.00,7/7/2020
942,65,16 400.00,7/8/2020
943,51,14 800.00,7/10/2020
944,29,17 500.00,7/15/2020
945,42,20 700.00,7/17/2020
946,15,21 000.00,7/19/2020
947,97,14 800.00,7/23/2020
948,47,19 700.00,7/28/2020
949,10,11 100.00,8/1/2020
950,2,8 100.00,8/5/2020
951,70,16 500.00,8/8/2020
952,28,7 200.00,8/9/2020
953,77,22 300.00,8/12/2020
954,63,27 200.00,8/16/2020
955,36,27 800.00,8/18/2020
956,92,14 400.00,8/21/2020
957,33,21 800.00,8/26/2020
958,57,23 400.00,8/31/2020
959,21,14 100.00,9/3/2020
960,47,17 800.00,9/8/2020
961,2,6 900.00,9/13/2020
962,64,19 500.00,9/18/2020
963,9,24 700.00,9/23/2020
964,71,21 000.00,9/24/2020
965,61,25 400.00,9/28/2020
966,94,7 400.00,10/1/2020
967,6,14 400.00,10/5/2020
968,61,19 200.00,10/7/2020
969,28,20 300.00,10/12/2020
970,2,10 600.00,10/16/2020
971,35,12 100.00,10/18/2020
972,94,18 700.00,10/21/2020
973,46,25 400.00,10/22/2020
974,57,20 700.00,10/27/2020
975,59,26 200.00,10/29/2020
976,97,16 900.00,10/30/2020
977,99,25 100.00,11/2/2020
978,35,7 700.00,11/7/2020
979,44,5 200.00,11/8/2020
980,100,7 200.00,11/12/2020
981,80,8 600.00,11/16/2020
982,89,12 000.00,11/21/2020
983,87,12 100.00,11/26/2020
984,76,30 000.00,12/1/2020
985,12,6 800.00,12/4/2020
986,86,12 800.00,12/9/2020
987,98,26 600.00,12/12/2020
988,97,21 100.00,12/16/2020
989,15,20 600.00,12/20/2020
990,38,27 600.00,12/24/2020
991,100,13 000.00,12/29/2020
992,74,14 000.00,1/3/2021
993,60,7 000.00,1/4/2021
994,100,14 800.00,1/9/2021
995,35,9 100.00,1/14/2021
996,89,18 600.00,1/18/2021
997,23,21 600.00,1/19/2021
998,41,22 400.00,1/20/2021
999,21,14 500.00,1/23/2021
1000,38,27 200.00,1/27/2021
